COLUMN_NAME
DEP_RUNWAY
ARR_RUNWAY
CID
ALTN_IATA_1
ALTN_IATA_2
ALTN_IATA_3
ALTN_IATA_4
FLIGHTNUMBER
DEPSTN
FLIGHTDATE
ARRSTN
ACREGIS
ACTYPE
NUM_ALTERNATES
OFP_NUMBER
TAXI_OUT_FUEL
TAXI_IN_FUEL
TRIP_FUEL
BLK_FUEL
FRSV_FUEL
ADDNL_FUEL_1
RSN_ADDFUEL1
ADDNL_FUEL_2
RSN_ADDFUEL2
ADDNL_FUEL_3
RSN_ADDFUEL3
ADDNL_FUEL_4
RSN_ADDFUEL4
CONT_FUEL
TANK_CAPACITY
MAX_TAXI_WT
FUEL_OVER_DESTN
ECON_FUEL
SAVING_USD
PERF_CORRECTION
CONTING_COVER
CONTING_PERC
TRIPFUEL_FL_BLW
GAIN_LOSS
PIC_NAME
DISPATCHER_NAME
DISPATCHER_REM
NO_WP_MAIN
NO_WP_DEPALTN
NO_WP_ARRALTN1
NO_WP_ARRALTN2
NO_WP_ARRALTN3
NO_WP_ARRALTN4
NO_WP_RECL
NO_WP_RECLALTN
NO_WP_TOTAL
DEPSTN_ICAO
ARRSTN_ICAO
TAXI_OUT_TIME
TAXI_IN_TIME
TRIP_TIME
VERSION
MLWT
AIR_DISTANCE
GND_DIST
AVWC
ETOW
MTOW
EZFW
MZFW
SID
SID_EXITPOINT
SID_DISTANCE
STAR
STAR_EXITPOINT
STAR_DISTANCE
DEP
ARR
TO_ALT_IATA
TO_ALT_ICAO
DEST_ALTN1
DEST_ALTN2
DEST_ALTN3
DEST_ALTN4
GCD
INFLT
PLN_BLK_TIME
EST_FLT_TIME
FRSV_TIME
EXTRA_TIME_1
EXTRA_TIME_2
EXTRA_TIME_3
EXTRA_TIME_4
CONT_TIME
CRZ
ENR_FUEL_ALTN
ENR_ALTN_PERC
ZFW_1000_M
ZFW_1000_P
ALT_TOC
ALT_TOD
DIST1
TIME1
FUEL1
DIST2
TIME2
FUEL2
DIST3
TIME3
FUEL3
DIST4
TIME4
FUEL4
CREATED_ON
FILE_NO
HELIX_UUID
HELIX_TIMESTAMP
