2013-08-10 00:00:00;2015-05-01 11:30:00
2015-05-01 11:30:00;2015-05-02 11:54:46
2015-05-02 11:54:46;2015-05-03 11:30:39
2015-05-03 11:30:39;2015-05-04 11:30:24
2015-05-04 11:30:24;2015-05-05 11:30:50
2015-05-05 11:30:50;2015-05-06 11:30:57
2015-05-06 11:30:57;2015-05-07 11:30:56
2015-05-07 11:30:56;2015-05-08 11:31:00
2015-05-08 11:31:00;2015-05-09 11:30:58
2015-05-09 11:30:58;2015-05-10 11:31:00
2015-05-10 11:31:00;2015-05-11 11:32:04
2015-05-11 11:32:04;2015-05-11 16:55:00
2015-05-11 16:55:00;2015-05-12 11:59:21
2015-05-12 11:59:21;2015-05-15 11:31:10
2015-05-15 11:31:10;2015-05-16 11:31:08
2015-05-16 11:31:08;2015-05-17 11:31:11
2015-05-17 11:31:11;2015-05-18 11:31:14
2015-05-18 11:31:14;2015-05-19 11:31:15
2015-05-19 11:31:15;2015-05-20 11:31:16
2015-05-20 11:31:16;2015-05-21 11:30:41
2015-05-21 11:30:41;2015-05-22 11:30:40
2015-05-22 11:30:40;2015-05-23 11:30:42
2015-05-23 11:30:42;2015-05-24 11:30:43
2015-05-24 11:30:43;2015-05-25 11:30:47
2015-05-25 11:30:47;2015-05-26 11:30:50
2015-05-26 11:30:50;2015-05-27 11:30:29
2015-05-27 11:30:29;2015-05-28 11:30:46
2015-05-28 11:30:46;2015-05-29 11:30:48
2015-05-29 11:30:48;2015-05-30 11:30:49
2015-05-30 11:30:49;2015-05-31 11:30:52
2015-05-31 11:30:52;2015-06-01 11:31:01
2015-06-01 11:31:01;2015-06-02 11:31:07
2015-06-02 11:31:07;2015-06-03 11:31:08
2015-06-03 11:31:08;2015-06-04 11:31:32
2015-06-04 11:31:32;2015-06-05 11:31:04
2015-06-05 11:31:04;2015-06-06 11:31:09
2015-06-06 11:31:09;2015-06-07 11:30:54
2015-06-07 11:30:54;2015-06-08 11:30:55
2015-06-08 11:30:55;2015-06-09 11:31:00
2015-06-09 11:31:00;2015-06-10 11:30:58
2015-06-10 11:30:58;2015-06-11 11:30:58
2015-06-11 11:30:58;2015-06-12 11:31:02
2015-06-12 11:31:02;2015-06-13 11:31:04
2015-06-13 11:31:04;2015-06-14 11:31:31
2015-06-14 11:31:31;2015-06-15 11:33:09
2015-06-15 11:33:09;2015-06-16 11:39:14
2015-06-16 11:39:14;2015-06-17 11:30:30
2015-06-17 11:30:30;2015-06-18 11:30:44
2015-06-18 11:30:44;2015-06-19 11:30:30
2015-06-19 11:30:30;2015-06-20 11:30:29
2015-06-20 11:30:29;2015-06-21 11:30:56
2015-06-21 11:30:56;2015-06-22 11:31:27
2015-06-22 11:31:27;2015-06-23 11:31:32
2015-06-23 11:31:32;2015-06-24 11:30:32
2015-06-24 11:30:32;2015-06-25 11:30:33
2015-06-25 11:30:33;2015-06-26 11:30:31
2015-06-26 11:30:31;2015-06-27 11:30:31
2015-06-27 11:30:31;2015-06-28 11:30:34
2015-06-28 11:30:34;2015-06-29 11:30:30
2015-06-29 11:30:30;2015-06-30 11:30:34
2015-06-30 11:30:34;2015-07-01 11:30:35
